"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","dis","mod","annot"
"estrogen dependent nuclear events downstream of esr membrane signaling","estrogen dependent nuclear events downstream of esr membrane signaling","10/443","24/10821",1.39994822400044e-08,5.75196118121919e-07,4.61310169922341e-07,"AKT1/AKT3/BCL2/EGF/EGFR/FOS/HBEGF/MAPK1/MAPK3/UHMK1",10,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"pi3k akt signaling in cancer","pi3k akt signaling in cancer","19/443","102/10821",2.51444002547277e-08,9.90060760029902e-07,7.94033692254558e-07,"AKT1/AKT3/EGF/EGFR/ERBB2/ERBB3/ERBB4/ESR1/FGF9/FYN/GSK3A/GSK3B/HBEGF/MTOR/NRG1/NRG2/NRG3/PDGFRB/PIK3CD",19,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"mapk family signaling cascades","mapk family signaling cascades","36/443","327/10821",5.56316432725496e-08,1.97710155599557e-06,1.58564535819193e-06,"ACTB/CAMK2B/CAMK2G/CSF2/DLG1/DLG4/EGF/EGFR/ERBB2/ERBB3/ERBB4/FGA/FGF9/FYN/GDNF/GRIN1/GRIN2B/GRIN2D/HBEGF/IL2/IL2RA/IL3/IL6/IL6R/KALRN/MAPK1/MAPK3/NCAM1/NRG1/NRG2/NRG3/PAK1/PDGFRB/RANBP9/RAP1A/UBB",36,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"negative regulation of nmda receptor mediated neuronal transmission","negative regulation of nmda receptor mediated neuronal transmission","9/443","21/10821",5.64886158855876e-08,1.97710155599557e-06,1.58564535819193e-06,"CAMK2B/CAMK2G/DLG1/DLG4/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D",9,"SCHIZOPHRENIA",1,"Neurotransmission"
"synaptic adhesion like molecules","synaptic adhesion like molecules","9/443","21/10821",5.64886158855876e-08,1.97710155599557e-06,1.58564535819193e-06,"DLG1/DLG4/GRIA1/GRIA4/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D",9,"SCHIZOPHRENIA",1,"Neurotransmission"
"signaling by erbb2","signaling by erbb2","13/443","50/10821",6.76451386246349e-08,2.28302342858143e-06,1.83099623344876e-06,"AKT1/AKT3/EGF/EGFR/ERBB2/ERBB3/ERBB4/FYN/HBEGF/NRG1/NRG2/NRG3/UBB",13,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"grb2 events in erbb2 signaling","grb2 events in erbb2 signaling","8/443","16/10821",7.14240993714501e-08,2.32744047951794e-06,1.86661893094171e-06,"EGF/EGFR/ERBB2/ERBB4/HBEGF/NRG1/NRG2/NRG3",8,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"shc1 events in erbb2 signaling","shc1 events in erbb2 signaling","9/443","22/10821",9.21553090766875e-08,2.90289223591566e-06,2.32813412404263e-06,"EGF/EGFR/ERBB2/ERBB3/ERBB4/HBEGF/NRG1/NRG2/NRG3",9,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"signaling by ntrks","signaling by ntrks","21/443","134/10821",1.07578835284263e-07,3.27941933366545e-06,2.63011074379184e-06,"ADCYAP1/ADORA2A/ARC/BAX/BDNF/CDK5R1/EGR3/EP300/FOS/FYN/GRIN2B/MAPK1/MAPK3/NGF/NTF3/NTRK2/NTRK3/RAP1A/RIT2/TPH1/VGF",21,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"signaling by interleukins","signaling by interleukins","44/443","462/10821",1.33280309651436e-07,3.93593414439397e-06,3.15663891279717e-06,"AKT1/APP/BCL2/CBL/CCL2/CCR5/CSF2/FOS/FYN/ICAM1/IFNG/IL1A/IL10/IL17A/IL18/IL1B/IL1RN/IL2/IL2RA/IL3/IL4/IL6/IL6R/CXCL8/LIF/MAOA/MAPK1/MAPK3/MMP9/OPRM1/PIK3CD/POMC/PTGS2/PTPN4/PTPRZ1/S100B/SNAP25/STX1A/SOD1/TGFB1/TNF/TP53/UBB/VEGFA",44,"SCHIZOPHRENIA",8,"Interferon stimulated genes: interleukins and antigen presentation"
"g alpha i signalling events","g alpha i signalling events","40/443","403/10821",1.72163309023336e-07,4.9301311220319e-06,3.95398987230628e-06,"ADRA2A/APOA1/APOE/APP/CAMK2B/CAMK2G/CCR5/CNR1/CNR2/CXCR4/DRD3/DRD4/GRM2/GRM3/GRM4/GRM7/GRM8/HTR1A/HTR1B/HTR1F/HTR5A/CXCL8/LRP2/MAPK1/NPY/OPN1MW/OPN1SW/OPRL1/OPRM1/PDE4A/PDE4B/PLA2G4A/PLCB1/POMC/PPP1R1B/PPP3CC/PYY/RGS4/SST/TTR",40,"SCHIZOPHRENIA",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"signaling by ptk6","signaling by ptk6","13/443","54/10821",1.81856061371644e-07,5.05452876459423e-06,4.05375740518836e-06,"AKT1/CBL/EGF/EGFR/ERBB2/ERBB3/ERBB4/HBEGF/NR3C1/NRG1/NRG2/NRG3/UBB",13,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"glutamate neurotransmitter release cycle","glutamate neurotransmitter release cycle","9/443","24/10821",2.2512107164111e-07,5.92831255667493e-06,4.75453638630571e-06,"GLS/SLC17A7/SLC1A1/SLC1A2/SLC1A6/SNAP25/STX1A/STXBP1/SYT1",9,"SCHIZOPHRENIA",1,"Neurotransmission"
"mecp2 regulates neuronal receptors and channels","mecp2 regulates neuronal receptors and channels","8/443","18/10821",2.25840478349521e-07,5.92831255667493e-06,4.75453638630571e-06,"FKBP5/GRIA2/GRIN2A/GRIN2B/HDAC2/MECP2/OPRM1/PTPN4",8,"SCHIZOPHRENIA",1,"Neurotransmission"
"downregulation of erbb2 erbb3 signaling","downregulation of erbb2 erbb3 signaling","7/443","13/10821",2.54775708928448e-07,6.50710932263199e-06,5.2187342938402e-06,"AKT1/AKT3/ERBB2/ERBB3/NRG1/NRG2/UBB",7,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"flt3 signaling","flt3 signaling","32/443","292/10821",3.47204558877576e-07,8.63442916156077e-06,6.92485546791841e-06,"ACTB/CAMK2B/CAMK2G/CSF2/DLG1/DLG4/EGF/EGFR/ERBB2/ERBB3/ERBB4/FGA/FGF9/FYN/GDNF/GRIN1/GRIN2B/GRIN2D/HBEGF/IL2/IL2RA/IL3/MAPK1/MAPK3/NCAM1/NRG1/NRG2/NRG3/PDGFRB/RANBP9/RAP1A/UBB",32,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"gaba synthesis release reuptake and degradation","gaba synthesis release reuptake and degradation","8/443","19/10821",3.76193747150773e-07,9.11546387326873e-06,7.31064771790976e-06,"DNAJC5/GAD1/GAD2/SLC6A1/SNAP25/STX1A/STXBP1/SYT1",8,"SCHIZOPHRENIA",1,"Neurotransmission"
"signaling by erbb2 in cancer","signaling by erbb2 in cancer","9/443","26/10821",4.99986120811041e-07,1.18121721041608e-05,9.47342123641973e-06,"EGF/EGFR/ERBB2/ERBB3/ERBB4/HBEGF/NRG1/NRG2/NRG3",9,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"ionotropic activity of kainate receptors","ionotropic activity of kainate receptors","6/443","10/10821",8.31194796917798e-07,1.91580264167639e-05,1.53648332164522e-05,"DLG1/DLG4/GRIK1/GRIK2/GRIK3/GRIK4",6,"SCHIZOPHRENIA",1,"Neurotransmission"
"intracellular signaling by second messengers","intracellular signaling by second messengers","32/443","304/10821",8.57794993122376e-07,1.93003873452535e-05,1.54790073946895e-05,"AKT1/AKT3/CAMK2B/CAMK2G/CSNK2B/EGF/EGFR/ERBB2/ERBB3/ERBB4/ESR1/FGF9/FYN/GSK3A/GSK3B/HBEGF/HDAC2/INS/INSR/MAPK1/MAPK3/MTOR/NR2E1/NRG1/NRG2/NRG3/PDGFRB/PIK3CD/PIP4K2A/PPARG/TP53/UBB",32,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"creb1 phosphorylation through nmda receptor mediated activation of ras signaling","creb1 phosphorylation through nmda receptor mediated activation of ras signaling","9/443","28/10821",1.02724173278271e-06,2.25754287785968e-05,1.81056070404786e-05,"CAMK2B/CAMK2G/DLG1/DLG4/GRIN1/GRIN2B/GRIN2D/MAPK1/MAPK3",9,"SCHIZOPHRENIA",1,"Neurotransmission"
"assembly and cell surface presentation of nmda receptors","assembly and cell surface presentation of nmda receptors","11/443","44/10821",1.0788435116596e-06,2.31706163299619e-05,1.85829504400697e-05,"CAMK2B/CAMK2G/DLG1/DLG4/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B",11,"SCHIZOPHRENIA",1,"Neurotransmission"
"diseases of signal transduction by growth factor receptors and second messengers","diseases of signal transduction by growth factor receptors and second messengers","37/443","386/10821",1.19745626263877e-06,2.51465815154141e-05,2.01676844233897e-05,"ACTB/AKT1/AKT3/APC/CAMK2B/CAMK2G/CBL/CTNNB1/EGF/EGFR/EP300/ERBB2/ERBB3/ERBB4/ESR1/FBXW7/FGA/FGF9/FYN/GSK3A/GSK3B/HBEGF/HDAC9/HDAC2/MAPK1/MAPK3/MTOR/NRG1/NRG2/NRG3/PDGFRB/PIK3CD/QKI/RAP1A/TCF7L2/TGFB1/UBB",37,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"constitutive signaling by aberrant pi3k in cancer","constitutive signaling by aberrant pi3k in cancer","14/443","75/10821",1.71822747128117e-06,3.52983687034935e-05,2.83094686343808e-05,"EGF/EGFR/ERBB2/ERBB3/ERBB4/ESR1/FGF9/FYN/HBEGF/NRG1/NRG2/NRG3/PDGFRB/PIK3CD",14,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"nuclear signaling by erbb4","nuclear signaling by erbb4","9/443","32/10821",3.60419369934929e-06,7.24672988486188e-05,5.8119136921198e-05,"APOE/ERBB4/ESR1/GFAP/HBEGF/NRG1/NRG2/NRG3/S100B",9,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"serotonin neurotransmitter release cycle","serotonin neurotransmitter release cycle","7/443","18/10821",3.95122204454203e-06,7.77896840019212e-05,6.23877164927689e-05,"SLC18A2/SNAP25/STX1A/STXBP1/SYN2/SYN3/SYT1",7,"SCHIZOPHRENIA",1,"Neurotransmission"
"na cl dependent neurotransmitter transporters","na cl dependent neurotransmitter transporters","7/443","19/10821",6.03665521802028e-06,0.000114092783620583,9.150298435736e-05,"SLC18A1/SLC18A2/SLC6A1/SLC6A2/SLC6A3/SLC6A5/SLC6A9",7,"SCHIZOPHRENIA",1,"Neurotransmission"
"synthesis secretion and deacylation of ghrelin","synthesis secretion and deacylation of ghrelin","7/443","19/10821",6.03665521802028e-06,0.000114092783620583,9.150298435736e-05,"BCHE/GCG/GH1/IGF1/INS/LEP/PLA2G7",7,"SCHIZOPHRENIA",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"ras activation upon ca2 influx through nmda receptor","ras activation upon ca2 influx through nmda receptor","7/443","20/10821",8.96157229355638e-06,0.000166052663086486,0.000133175068139537,"CAMK2B/CAMK2G/DLG1/DLG4/GRIN1/GRIN2B/GRIN2D",7,"SCHIZOPHRENIA",1,"Neurotransmission"
"extra nuclear estrogen signaling","extra nuclear estrogen signaling","13/443","75/10821",9.4774490058248e-06,0.000172234409817393,0.000138132860003924,"AKT1/AKT3/BCL2/CAV1/EGF/EGFR/ESR1/FOS/HBEGF/MAPK1/MAPK3/MMP9/UHMK1",13,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"peptide hormone metabolism","peptide hormone metabolism","14/443","90/10821",1.57946805597424e-05,0.000281622134508615,0.000225862363515681,"ACE/BCHE/AOPEP/CTNNB1/ENPEP/GCG/GH1/IGF1/INS/LEP/PLA2G7/POMC/STX1A/TCF7L2",14,"SCHIZOPHRENIA",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"neurotransmitter clearance","neurotransmitter clearance","5/443","10/10821",2.38914826810541e-05,0.000403168770242787,0.000323343374630807,"BCHE/COMT/MAOA/SLC6A3/SLC6A4",5,"SCHIZOPHRENIA",1,"Neurotransmission"
"p75ntr regulates axonogenesis","p75ntr regulates axonogenesis","5/443","10/10821",2.38914826810541e-05,0.000403168770242787,0.000323343374630807,"LINGO1/MAG/NGF/RTN4/RTN4R",5,"SCHIZOPHRENIA",10,"NOTCH and FOXO mediated gene expression"
"pi3k events in erbb4 signaling","pi3k events in erbb4 signaling","5/443","10/10821",2.38914826810541e-05,0.000403168770242787,0.000323343374630807,"ERBB4/HBEGF/NRG1/NRG2/NRG3",5,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"trafficking of ampa receptors","trafficking of ampa receptors","8/443","31/10821",2.54400017580832e-05,0.000411294660167405,0.000329860379081628,"CACNG8/CAMK2B/CAMK2G/DLG1/DLG4/GRIA1/GRIA2/GRIA4",8,"SCHIZOPHRENIA",1,"Neurotransmission"
"dopamine neurotransmitter release cycle","dopamine neurotransmitter release cycle","7/443","23/10821",2.54665842867489e-05,0.000411294660167405,0.000329860379081628,"SLC18A2/SNAP25/STX1A/STXBP1/SYN2/SYN3/SYT1",7,"SCHIZOPHRENIA",1,"Neurotransmission"
"crmps in sema3a signaling","crmps in sema3a signaling","6/443","16/10821",2.56787142326739e-05,0.000411294660167405,0.000329860379081628,"CDK5R1/CRMP1/DPYSL2/FYN/GSK3B/PLXNA2",6,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"norepinephrine neurotransmitter release cycle","norepinephrine neurotransmitter release cycle","6/443","18/10821",5.55048480699089e-05,0.000874201357101065,0.000701113870356743,"MAOA/SLC18A2/SNAP25/STX1A/STXBP1/SYT1",6,"SCHIZOPHRENIA",1,"Neurotransmission"
"foxo mediated transcription","foxo mediated transcription","11/443","66/10821",6.69966816688237e-05,0.00103789941273833,0.000832400531519466,"AKT1/AKT3/CAT/CAV1/EP300/HDAC2/INS/NPY/NR3C1/POMC/SIRT1",11,"SCHIZOPHRENIA",10,"NOTCH and FOXO mediated gene expression"
"g alpha q signalling events","g alpha q signalling events","22/443","216/10821",7.44836424751483e-05,0.00113527487320992,0.000910496138915225,"APP/AVP/CCK/CCKAR/CHRM1/EGFR/GCG/GRM1/GRM5/HBEGF/HTR2A/HTR2C/KALRN/MAPK1/MAPK3/NTS/OXT/OXTR/PLCB1/RGS4/TAC1/TRH",22,"SCHIZOPHRENIA",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"adora2b mediated anti inflammatory cytokines production","adora2b mediated anti inflammatory cytokines production","16/443","133/10821",0.00010356670554164,0.0015535005831246,0.00124591525463627,"ADCYAP1/ADM/ADORA2A/AVP/CRH/DRD1/DRD5/GCG/GHRH/HTR4/HTR7/IL6/POMC/SCT/TAAR1/VIPR2",16,"SCHIZOPHRENIA",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"l1cam interactions","l1cam interactions","15/443","121/10821",0.000120541813860586,0.00177987522028521,0.00142746884834904,"ACTB/ANK3/CSNK2B/DCX/DLG1/DLG4/DPYSL2/EGFR/GAP43/MAPK1/MAPK3/NCAM1/NCAN/PAK1/RANBP9",15,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"leishmania infection","leishmania infection","27/443","306/10821",0.000141589097500464,0.00205848764827598,0.00165091741215116,"ACTB/ADCYAP1/ADM/ADORA2A/APP/AVP/CRH/CYFIP1/DRD1/DRD5/FYN/GCG/GHRH/HTR4/HTR7/IL1A/IL10/IL18/IL1B/IL6/MAPK1/MAPK3/POMC/SCT/TAAR1/VIPR2/WAS",27,"SCHIZOPHRENIA",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"signal transduction by l1","signal transduction by l1","6/443","21/10821",0.000146107157938608,0.0020919888523028,0.0016777855457065,"CSNK2B/EGFR/MAPK1/MAPK3/NCAM1/PAK1",6,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"activation of kainate receptors upon glutamate binding","activation of kainate receptors upon glutamate binding","7/443","30/10821",0.000164894496551654,0.00226790444831678,0.00181887073549215,"DLG1/DLG4/GRIK1/GRIK2/GRIK3/GRIK4/PLCB1",7,"SCHIZOPHRENIA",1,"Neurotransmission"
"regulation of tp53 activity through acetylation","regulation of tp53 activity through acetylation","7/443","30/10821",0.000164894496551654,0.00226790444831678,0.00181887073549215,"AKT1/AKT3/BRD1/EP300/HDAC2/PIP4K2A/TP53",7,"SCHIZOPHRENIA",10,"NOTCH and FOXO mediated gene expression"
"shc1 events in erbb4 signaling","shc1 events in erbb4 signaling","5/443","14/10821",0.000165593023210432,0.00226790444831678,0.00181887073549215,"ERBB4/HBEGF/NRG1/NRG2/NRG3",5,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"ncam signaling for neurite out growth","ncam signaling for neurite out growth","10/443","63/10821",0.000217526035118034,0.00293660147409346,0.00235516910202984,"CACNA1C/CACNA1I/COL2A1/FYN/GDNF/MAPK1/MAPK3/NCAM1/NCAN/ST8SIA2",10,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"interferon gamma signaling","interferon gamma signaling","12/443","93/10821",0.000391718784943363,0.00521372185593631,0.00418143106240506,"B2M/CAMK2B/CAMK2G/GBP1/HLA-B/HLA-C/HLA-DRB1/HLA-DRB4/HLA-E/ICAM1/IFNG/NCAM1",12,"SCHIZOPHRENIA",8,"Interferon stimulated genes: interleukins and antigen presentation"
"peptide ligand binding receptors","peptide ligand binding receptors","19/443","197/10821",0.000456612616149095,0.0059109441405602,0.00474060682952197,"APP/AVP/CCK/CCKAR/CCL2/CCR5/CXCR4/CXCL8/NPY/NTS/OPRL1/OPRM1/OXT/OXTR/POMC/PYY/SST/TAC1/TRH",19,"SCHIZOPHRENIA",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"neurotoxicity of clostridium toxins","neurotoxicity of clostridium toxins","4/443","10/10821",0.000477962033596289,0.00594308054932227,0.0047663803904339,"SNAP25/STX1A/SV2A/SYT1",4,"SCHIZOPHRENIA",1,"Neurotransmission"
"signal attenuation","signal attenuation","4/443","10/10821",0.000477962033596289,0.00594308054932227,0.0047663803904339,"INS/INSR/MAPK1/MAPK3",4,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"amyloid fiber formation","amyloid fiber formation","13/443","109/10821",0.000494504383810915,0.00606891743767941,0.00486730220565767,"APOA1/APP/B2M/BACE1/CALB1/FGA/H2AZ1/INS/MFGE8/NPPA/PRL/TTR/UBB",13,"SCHIZOPHRENIA",10,"NOTCH and FOXO mediated gene expression"
"infection with mycobacterium tuberculosis","infection with mycobacterium tuberculosis","6/443","27/10821",0.000646817683910519,0.00754620631228938,0.00605209528805164,"B2M/GSK3A/MAPK1/MAPK3/TLR2/UBB",6,"SCHIZOPHRENIA",2,"Cell fate: apoptosis, senesence, differentiation"
"vegfr2 mediated vascular permeability","vegfr2 mediated vascular permeability","6/443","27/10821",0.000646817683910519,0.00754620631228938,0.00605209528805164,"AKT1/AKT3/CAV1/CTNNB1/MTOR/PAK1",6,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"interleukin 3 interleukin 5 and gm csf signaling","interleukin 3 interleukin 5 and gm csf signaling","8/443","48/10821",0.00066076218885024,0.00761488132272532,0.0061071729906569,"CBL/CSF2/FYN/IL2/IL2RA/IL3/PIK3CD/UBB",8,"SCHIZOPHRENIA",8,"Interferon stimulated genes: interleukins and antigen presentation"
"endosomal vacuolar pathway","endosomal vacuolar pathway","4/443","11/10821",0.000726894721419157,0.00827609050290486,0.00663746606749262,"B2M/HLA-B/HLA-C/HLA-E",4,"SCHIZOPHRENIA",8,"Interferon stimulated genes: interleukins and antigen presentation"
"transcriptional regulation by the ap 2 tfap2 family of transcription factors","transcriptional regulation by the ap 2 tfap2 family of transcription factors","7/443","38/10821",0.00077021308707275,0.00864061980203335,0.0069298203926082,"APOE/EGFR/EP300/ERBB2/ESR1/HSPD1/VEGFA",7,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"ngf stimulated transcription","ngf stimulated transcription","7/443","39/10821",0.000906157036017299,0.00995719068646916,0.00798571684127852,"ARC/CDK5R1/EGR3/EP300/FOS/TPH1/VGF",7,"SCHIZOPHRENIA",4,"Signal transduction upon growth factor stimulation"
"signaling by interleukins","signaling by interleukins","53/195","462/10821",1.29989634435237e-28,8.30633764041167e-26,5.89742446753551e-26,"BCL2/CCL2/CCL3/CCL5/CCR2/COL1A2/CSF3/CTSG/CXCL10/FGF2/FN1/HGF/ICAM1/IFNG/IL1A/IL10/IL12A/IL12B/IL13/IL15/IL17A/IL1RN/IL2/IL21/IL22/IL2RA/IL33/IL37/IL4/IL6/CXCL8/IL9/MAPK1/MAPK3/MAPK8/MIF/MMP1/MMP2/MMP3/MMP9/MUC1/NFKB1/NFKB2/RELA/PRTN3/SMAD3/STAT3/STAT4/TGFB1/TIMP1/TNF/VCAM1/VEGFA",53,"SCLERODERMA",8,"Interferon stimulated genes: interleukins and antigen presentation"
"interleukin 4 and interleukin 13 signaling","interleukin 4 and interleukin 13 signaling","27/195","111/10821",1.72049908059789e-23,5.49699456251025e-21,3.90281633546152e-21,"BCL2/CCL2/COL1A2/FGF2/FN1/HGF/ICAM1/IL1A/IL10/IL12A/IL12B/IL13/IL17A/IL4/IL6/CXCL8/MMP1/MMP2/MMP3/MMP9/MUC1/STAT3/TGFB1/TIMP1/TNF/VCAM1/VEGFA",27,"SCLERODERMA",8,"Interferon stimulated genes: interleukins and antigen presentation"
"interleukin 10 signaling","interleukin 10 signaling","17/195","46/10821",1.22188806679091e-18,2.60262158226464e-16,1.84783774311187e-16,"CCL2/CCL3/CCL5/CCR2/CSF3/CXCL10/ICAM1/IL1A/IL10/IL12A/IL12B/IL1RN/IL6/CXCL8/STAT3/TIMP1/TNF",17,"SCLERODERMA",8,"Interferon stimulated genes: interleukins and antigen presentation"
"extracellular matrix organization","extracellular matrix organization","33/195","301/10821",3.55480007741465e-17,5.6787931236699e-15,4.03189166675188e-15,"ADAM17/COL1A1/COL1A2/COMP/CTSG/DCN/ELN/FBN1/FGF2/FN1/ICAM1/ITGAL/KDR/LOX/MMP1/MMP12/MMP13/MMP2/MMP3/MMP9/NCAM1/SERPINE1/SERPINH1/SPARC/SPP1/TGFB1/TGFB2/THBS1/TIMP1/TIMP2/TNC/VCAM1/VWF",33,"SCLERODERMA",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"platelet activation signaling and aggregation","platelet activation signaling and aggregation","23/195","261/10821",2.76491794752852e-10,2.94463761411788e-08,2.09066602699087e-08,"ALB/CD109/COL1A1/COL1A2/F2/FN1/HGF/MAPK1/MAPK3/MMRN1/PF4/PPBP/SERPINA1/SERPINE1/SERPINF2/SPARC/TGFB1/TGFB2/THBS1/THPO/TIMP1/VEGFA/VWF",23,"SCLERODERMA",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"chemokine receptors bind chemokines","chemokine receptors bind chemokines","12/195","58/10821",3.61045841128538e-10,3.29583274973051e-08,2.34001139137443e-08,"CCL13/CCL2/CCL3/CCL5/CCR2/CXCL10/CXCL12/CXCR3/CXCR4/CXCL8/PF4/PPBP",12,"SCLERODERMA",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"degradation of the extracellular matrix","degradation of the extracellular matrix","17/195","140/10821",4.9630822220959e-10,3.9642619248991e-08,2.81459004963596e-08,"ADAM17/COL1A1/COL1A2/CTSG/DCN/ELN/FBN1/FN1/MMP1/MMP12/MMP13/MMP2/MMP3/MMP9/SPP1/TIMP1/TIMP2",17,"SCLERODERMA",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"integrin cell surface interactions","integrin cell surface interactions","13/195","85/10821",3.35941555974642e-09,2.38518504741996e-07,1.69345977339264e-07,"COL1A1/COL1A2/COMP/FBN1/FN1/ICAM1/ITGAL/KDR/SPP1/THBS1/TNC/VCAM1/VWF",13,"SCLERODERMA",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"negative regulation of the pi3k akt network","negative regulation of the pi3k akt network","14/195","110/10821",9.63378576428928e-09,6.15598910338085e-07,4.37069648885124e-07,"CD19/CD28/EGFR/ESR1/FGF2/HGF/ICOS/IL33/KITLG/MAPK1/MAPK3/PDGFRA/PDGFRB/TRIB3",14,"SCLERODERMA",4,"Signal transduction upon growth factor stimulation"
"peptide ligand binding receptors","peptide ligand binding receptors","18/195","197/10821",1.52894688688285e-08,8.14164217265115e-07,5.78049217760093e-07,"AGTR1/AGT/CCL13/CCL2/CCL3/CCL5/CCR2/CXCL10/CXCL12/CXCR3/CXCR4/EDN1/EDNRA/F2/CXCL8/PF4/PPBP/UTS2",18,"SCLERODERMA",3,"GPCR signaling: Wnt, metabotropic receptors, cytokine receptors"
"activation of matrix metalloproteinases","activation of matrix metalloproteinases","8/195","33/10821",9.09164233136597e-08,4.46889188441758e-06,3.17287274884108e-06,"CTSG/MMP1/MMP13/MMP2/MMP3/MMP9/TIMP1/TIMP2",8,"SCLERODERMA",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"ecm proteoglycans","ecm proteoglycans","11/195","76/10821",1.01241096695005e-07,4.62093291343632e-06,3.28082050192085e-06,"COL1A1/COL1A2/COMP/DCN/FN1/NCAM1/SERPINE1/SPARC/TGFB1/TGFB2/TNC",11,"SCLERODERMA",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"diseases of signal transduction by growth factor receptors and second messengers","diseases of signal transduction by growth factor receptors and second messengers","24/195","386/10821",1.10074684255698e-07,4.68918154929275e-06,3.329276415032e-06,"ADAM17/CD19/CD28/CTNNB1/DKK1/EGFR/EP300/ESR1/FGF2/FN1/HGF/ICOS/KDR/KITLG/MAPK1/MAPK3/PDGFRA/PDGFRB/SMAD2/SMAD3/STAT3/TGFB1/TGFBR1/VWF",24,"SCLERODERMA",4,"Signal transduction upon growth factor stimulation"
"syndecan interactions","syndecan interactions","7/195","27/10821",3.62587879270226e-07,1.44808534283547e-05,1.02812747345702e-05,"COL1A1/COL1A2/FGF2/FN1/TGFB1/THBS1/TNC",7,"SCLERODERMA",9,"Extracellular matrix organization, coagulation and lipoprotein metabolism"
"constitutive signaling by aberrant pi3k in cancer","constitutive signaling by aberrant pi3k in cancer","10/195","75/10821",8.59576059275945e-07,3.23099471692547e-05,2.29397697552899e-05,"CD19/CD28/EGFR/ESR1/FGF2/HGF/ICOS/KITLG/PDGFRA/PDGFRB",10,"SCLERODERMA",4,"Signal transduction upon growth factor stimulation"
"toll like receptor 9 tlr9 cascade","toll like receptor 9 tlr9 cascade","11/195","95/10821",1.02462107034433e-06,3.63740479972237e-05,2.58252445215442e-05,"CD14/IRF7/MAPK1/MAPK3/MAPK8/NFKB1/NFKB2/RELA/TLR4/TLR8/TLR9",11,"SCLERODERMA",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
"interleukin 1 family signaling","interleukin 1 family signaling","13/195","139/10821",1.26434221529212e-06,4.25218250300877e-05,3.01901105147316e-05,"CTSG/IL1A/IL13/IL1RN/IL33/IL37/IL4/MAPK8/NFKB1/NFKB2/RELA/SMAD3/STAT3",13,"SCLERODERMA",12,"NFkB mediated inflammation induced by TLRs, TCRs and BCRs"
