"Id","Label","Class"
"PKP3","PKP3","Gene"
"MAML2","MAML2","Gene"
"NELL2","NELL2","Gene"
"MED12","MED12","Gene"
"KRTAP6-1","KRTAP6-1","Gene"
"RFX6","RFX6","Gene"
"ROBO2","ROBO2","Gene"
"KRT76","KRT76","Gene"
"SCN10A","SCN10A","Gene"
"KRT6B","KRT6B","Gene"
"NR2F2","NR2F2","Gene"
"PBX1","PBX1","Gene"
"KRT79","KRT79","Gene"
"KRTAP5-5","KRTAP5-5","Gene"
"IRS2","IRS2","Gene"
"LCE3A","LCE3A","Gene"
"LCE3E","LCE3E","Gene"
"KRT73","KRT73","Gene"
"KRT5","KRT5","Gene"
"PIP5K1C","PIP5K1C","Gene"
"LCE5A","LCE5A","Gene"
"LCE1E","LCE1E","Gene"
"KRT26","KRT26","Gene"
"KRT10","KRT10","Gene"
"KRT3","KRT3","Gene"
"KLK12","KLK12","Gene"
"KRT16","KRT16","Gene"
"LCE1A","LCE1A","Gene"
"KRT14","KRT14","Gene"
"KRTAP17-1","KRTAP17-1","Gene"
"KRTAP22-1","KRTAP22-1","Gene"
"KRTAP19-6","KRTAP19-6","Gene"
"KRTAP6-2","KRTAP6-2","Gene"
"PPARA","PPARA","Gene"
"KRTAP19-2","KRTAP19-2","Gene"
"KRTAP19-4","KRTAP19-4","Gene"
"KRTAP15-1","KRTAP15-1","Gene"
"KRTAP13-4","KRTAP13-4","Gene"
"KRTAP19-5","KRTAP19-5","Gene"
"KRTAP23-1","KRTAP23-1","Gene"
"KRTAP21-1","KRTAP21-1","Gene"
"KRTAP21-2","KRTAP21-2","Gene"
"SLIT1","SLIT1","Gene"
"FOXD3","FOXD3","Gene"
"SHTN1","SHTN1","Gene"
"LCE4A","LCE4A","Gene"
"LCE2A","LCE2A","Gene"
"KRTAP12-1","KRTAP12-1","Gene"
"LCE2C","LCE2C","Gene"
"LCE2D","LCE2D","Gene"
"LCE3B","LCE3B","Gene"
"KRT12","KRT12","Gene"
"KRTAP9-8","KRTAP9-8","Gene"
"DCC","DCC","Gene"
"COL4A1","COL4A1","Gene"
"SEMA4D","SEMA4D","Gene"
"KRTAP10-8","KRTAP10-8","Gene"
"MAPK12","MAPK12","Gene"
"COL4A5","COL4A5","Gene"
"KRTAP10-6","KRTAP10-6","Gene"
"AGRN","AGRN","Gene"
"KRTAP1-1","KRTAP1-1","Gene"
"KRTAP24-1","KRTAP24-1","Gene"
"RELN","RELN","Gene"
"KRTAP10-12","KRTAP10-12","Gene"
"KRT77","KRT77","Gene"
"KAZN","KAZN","Gene"
"KRTAP4-3","KRTAP4-3","Gene"
"SEMA4A","SEMA4A","Gene"
"KRTAP5-3","KRTAP5-3","Gene"
"WDR5","WDR5","Gene"
"EPHB4","EPHB4","Gene"
"SIAH1","SIAH1","Gene"
"NCOR2","NCOR2","Gene"
"CACNA1H","CACNA1H","Gene"
"LCE1B","LCE1B","Gene"
"MAML3","MAML3","Gene"
"SPRR2B","SPRR2B","Gene"
"KRT39","KRT39","Gene"
"SCN8A","SCN8A","Gene"
"PDLIM7","PDLIM7","Gene"
"KRT35","KRT35","Gene"
"LCE1C","LCE1C","Gene"
"HOXA4","HOXA4","Gene"
"KRTAP26-1","KRTAP26-1","Gene"
"DNM3","DNM3","Gene"
"ZNF335","ZNF335","Gene"
"KRTAP9-9","KRTAP9-9","Gene"
"KRTAP4-6","KRTAP4-6","Gene"
"TFDP1","TFDP1","Gene"
"KRTAP4-5","KRTAP4-5","Gene"
"HOXC4","HOXC4","Gene"
"KRTAP13-1","KRTAP13-1","Gene"
"KRTAP4-1","KRTAP4-1","Gene"
"NCOA6","NCOA6","Gene"
"LDB1","LDB1","Gene"
"PLXNB3","PLXNB3","Gene"
"L1CAM","L1CAM","Gene"
"SREBF2","SREBF2","Gene"
"LOR","LOR","Gene"
"LELP1","LELP1","Gene"
"SPRR2E","SPRR2E","Gene"
"LIPN","LIPN","Gene"
"LIPK","LIPK","Gene"
"LIPJ","LIPJ","Gene"
"MAFB","MAFB","Gene"
"COL5A2","COL5A2","Gene"
"POU5F1","POU5F1","Gene"
"KRTAP5-11","KRTAP5-11","Gene"
"KRTAP5-10","KRTAP5-10","Gene"
"KRTAP9-3","KRTAP9-3","Gene"
"KRTAP4-8","KRTAP4-8","Gene"
"KRTAP1-4","KRTAP1-4","Gene"
"KRT40","KRT40","Gene"
"KRT25","KRT25","Gene"
"SPINK9","SPINK9","Gene"
"PSENEN","PSENEN","Gene"
"KRT6A","KRT6A","Gene"
"KRT81","KRT81","Gene"
"KRTAP12-3","KRTAP12-3","Gene"
"KRTAP10-2","KRTAP10-2","Gene"
"KRTAP5-6","KRTAP5-6","Gene"
"KRTAP5-2","KRTAP5-2","Gene"
"KRTAP5-1","KRTAP5-1","Gene"
"ONECUT3","ONECUT3","Gene"
"RNPS1","RNPS1","Gene"
"DOK6","DOK6","Gene"
"KRTAP19-8","KRTAP19-8","Gene"
"KRTAP27-1","KRTAP27-1","Gene"
"COL6A6","COL6A6","Gene"
"KRTAP16-1","KRTAP16-1","Gene"
"KRTAP29-1","KRTAP29-1","Gene"
"KRTAP9-6","KRTAP9-6","Gene"
"KRTAP4-11","KRTAP4-11","Gene"
"KRTAP4-9","KRTAP4-9","Gene"
"KRTAP2-3","KRTAP2-3","Gene"
"KRTAP2-1","KRTAP2-1","Gene"
"KRTAP3-3","KRTAP3-3","Gene"
"KRTAP3-2","KRTAP3-2","Gene"
"KRTAP3-1","KRTAP3-1","Gene"
"KRTAP12-4","KRTAP12-4","Gene"
"KRTAP10-3","KRTAP10-3","Gene"
"KRTAP6-3","KRTAP6-3","Gene"
"KRTAP2-4","KRTAP2-4","Gene"
"ITGA1","ITGA1","Gene"
"MEF2B","MEF2B","Gene"
"KRTAP2-2","KRTAP2-2","Gene"
"ZSWIM8","ZSWIM8","Gene"
"ARHGEF28","ARHGEF28","Gene"
"KRTAP10-4","KRTAP10-4","Gene"
"KRTAP10-1","KRTAP10-1","Gene"
"RPTN","RPTN","Gene"
"KRTAP10-9","KRTAP10-9","Gene"
"KRTAP1-5","KRTAP1-5","Gene"
"KRTAP10-10","KRTAP10-10","Gene"
"KRTAP12-2","KRTAP12-2","Gene"
"PLXNA4","PLXNA4","Gene"
"CEBPD","CEBPD","Gene"
"KRTAP1-3","KRTAP1-3","Gene"
"KIF4B","KIF4B","Gene"
"KRTAP21-3","KRTAP21-3","Gene"
"KRTAP25-1","KRTAP25-1","Gene"
"TNF","TNF","Gene"
"LCE6A","LCE6A","Gene"
"KRTAP9-2","KRTAP9-2","Gene"
"LCE1F","LCE1F","Gene"
"KRTAP13-3","KRTAP13-3","Gene"
"KRTAP9-1","KRTAP9-1","Gene"
"KRTAP4-7","KRTAP4-7","Gene"
"KRTAP10-5","KRTAP10-5","Gene"
"TDGF1","TDGF1","Gene"
"KRTAP5-8","KRTAP5-8","Gene"
"KRTAP9-4","KRTAP9-4","Gene"
"SPRR2A","SPRR2A","Gene"
"EFNA4","EFNA4","Gene"
"KRTAP10-11","KRTAP10-11","Gene"
"LEFTY1","LEFTY1","Gene"
"KRTAP19-3","KRTAP19-3","Gene"
"LCE3C","LCE3C","Gene"
"SPRR2F","SPRR2F","Gene"
"KRTAP19-7","KRTAP19-7","Gene"
"KRTAP5-7","KRTAP5-7","Gene"
"KRTAP4-2","KRTAP4-2","Gene"
"KRTAP20-1","KRTAP20-1","Gene"
"CEBPA","CEBPA","Gene"
"KRTAP5-9","KRTAP5-9","Gene"
"ITGB3","ITGB3","Gene"
"RBM8A","RBM8A","Gene"
"CD24","CD24","Gene"
"KRTAP10-7","KRTAP10-7","Gene"
"GRIN2B","GRIN2B","Gene"
"HNF1B","HNF1B","Gene"
"PCGF2","PCGF2","Gene"
"KRTAP5-4","KRTAP5-4","Gene"
"PAGR1","PAGR1","Gene"
"SHANK3","SHANK3","Gene"
"AC080038.1","AC080038.1","Gene"
"CD207","CD207","Gene"
"FCGR1A","FCGR1A","Gene"
"FCGR1B","FCGR1B","Gene"
"MRC1","MRC1","Gene"
"CAMKK1","CAMKK1","Gene"
"PRKAR2B","PRKAR2B","Gene"
"CAMK2B","CAMK2B","Gene"
"ADCY2","ADCY2","Gene"
"PRKAR1A","PRKAR1A","Gene"
"CAMKK2","CAMKK2","Gene"
"PDE1A","PDE1A","Gene"
"ADCY7","ADCY7","Gene"
"PDE1B","PDE1B","Gene"
"ADCY4","ADCY4","Gene"
"ADCY3","ADCY3","Gene"
"CAMK2D","CAMK2D","Gene"
"CAMK2G","CAMK2G","Gene"
"CAMK4","CAMK4","Gene"
"PDE1C","PDE1C","Gene"
"ADCY8","ADCY8","Gene"
"ADCY9","ADCY9","Gene"
"ADCY1","ADCY1","Gene"
"AHCYL1","AHCYL1","Gene"
"PRKCE","PRKCE","Gene"
"GRK2","GRK2","Gene"
"ADCY5","ADCY5","Gene"
"ADCY6","ADCY6","Gene"
"KPNA2","KPNA2","Gene"
"PRKX","PRKX","Gene"
"PRKAR1B","PRKAR1B","Gene"
"MKNK1","MKNK1","Gene"
"SPRY2","SPRY2","Gene"
"BRAF","BRAF","Gene"
"VAMP3","VAMP3","Gene"
"ITGB5","ITGB5","Gene"
"SNAP23","SNAP23","Gene"
"STX4","STX4","Gene"
"IKBKB","IKBKB","Gene"
"LNPEP","LNPEP","Gene"
"VAMP8","VAMP8","Gene"
"CTSL","CTSL","Gene"
"TLR4","TLR4","Gene"
"CTSV","CTSV","Gene"
"TLR2","TLR2","Gene"
"TIRAP","TIRAP","Gene"
"LY96","LY96","Gene"
"CTSS","CTSS","Gene"
"PDIA3","PDIA3","Gene"
"TAP1","TAP1","Gene"
"CD14","CD14","Gene"
"MYD88","MYD88","Gene"
"TLR1","TLR1","Gene"
"TLR6","TLR6","Gene"
"CALR","CALR","Gene"
"TAP2","TAP2","Gene"
"HLA-C","HLA-C","Gene"
"HLA-E","HLA-E","Gene"
"HLA-G","HLA-G","Gene"
"HLA-F","HLA-F","Gene"
"HLA-B","HLA-B","Gene"
"CHUK","CHUK","Gene"
"TAPBP","TAPBP","Gene"
"SEC22B","SEC22B","Gene"
"IKBKG","IKBKG","Gene"
"GHR","GHR","Gene"
"PRLR","PRLR","Gene"
"CISH","CISH","Gene"
"SOCS2","SOCS2","Gene"
"GH2","GH2","Gene"
"CSH1","CSH1","Gene"
"ADAM17","ADAM17","Gene"
"IRS1","IRS1","Gene"
"PRL","PRL","Gene"
"SH2B1","SH2B1","Gene"
"SOCS3","SOCS3","Gene"
"PTPN1","PTPN1","Gene"
"GH1","GH1","Gene"
"SKAP2","SKAP2","Gene"
"CLDN11","CLDN11","Gene"
"CDH10","CDH10","Gene"
"LAMA3","LAMA3","Gene"
"LAMC2","LAMC2","Gene"
"CDH3","CDH3","Gene"
"COL17A1","COL17A1","Gene"
"CLDN18","CLDN18","Gene"
"SDK2","SDK2","Gene"
"ACTN1","ACTN1","Gene"
"LIMS2","LIMS2","Gene"
"MPP5","MPP5","Gene"
"PVR","PVR","Gene"
"FERMT2","FERMT2","Gene"
"ACTN2","ACTN2","Gene"
"CDH17","CDH17","Gene"
"CDH7","CDH7","Gene"
"FYB1","FYB1","Gene"
"SIRPG","SIRPG","Gene"
"PXN","PXN","Gene"
"ITGA6","ITGA6","Gene"
"SIRPB1","SIRPB1","Gene"
"CLDN15","CLDN15","Gene"
"TESK1","TESK1","Gene"
"NECTIN1","NECTIN1","Gene"
"CDH9","CDH9","Gene"
"CDH6","CDH6","Gene"
"CLDN16","CLDN16","Gene"
"NPHS2","NPHS2","Gene"
"PTK2B","PTK2B","Gene"
"SFTPA1","SFTPA1","Gene"
"PARD6B","PARD6B","Gene"
"KIRREL2","KIRREL2","Gene"
"FLNC","FLNC","Gene"
"NECTIN2","NECTIN2","Gene"
"AFDN","AFDN","Gene"
"ACTN4","ACTN4","Gene"
"CRB3","CRB3","Gene"
"ITGB4","ITGB4","Gene"
"PATJ","PATJ","Gene"
"SFTPD","SFTPD","Gene"
"CLDN10","CLDN10","Gene"
"CDH24","CDH24","Gene"
"CDH11","CDH11","Gene"
"CDH13","CDH13","Gene"
"NECTIN4","NECTIN4","Gene"
"CDH18","CDH18","Gene"
"SDK1","SDK1","Gene"
"CASK","CASK","Gene"
"RSU1","RSU1","Gene"
"PARD3","PARD3","Gene"
"KIRREL3","KIRREL3","Gene"
"CDH8","CDH8","Gene"
"DST","DST","Gene"
"CDH12","CDH12","Gene"
"CLDN17","CLDN17","Gene"
"CLDN8","CLDN8","Gene"
"CLDN12","CLDN12","Gene"
"F11R","F11R","Gene"
"CLDN14","CLDN14","Gene"
"NPHS1","NPHS1","Gene"
"FBLIM1","FBLIM1","Gene"
"CADM3","CADM3","Gene"
"CLDN1","CLDN1","Gene"
"PRKCI","PRKCI","Gene"
"CLDN19","CLDN19","Gene"
"CLDN3","CLDN3","Gene"
"CLDN2","CLDN2","Gene"
"ILK","ILK","Gene"
"LIMS1","LIMS1","Gene"
"CLDN20","CLDN20","Gene"
"CADM2","CADM2","Gene"
"CLDN22","CLDN22","Gene"
"CD151","CD151","Gene"
"NECTIN3","NECTIN3","Gene"
"PARD6G","PARD6G","Gene"
"CDH5","CDH5","Gene"
"CLDN7","CLDN7","Gene"
"CADM1","CADM1","Gene"
"KIRREL1","KIRREL1","Gene"
"CLDN5","CLDN5","Gene"
"CLDN6","CLDN6","Gene"
"SFTPA2","SFTPA2","Gene"
"MAGI2","MAGI2","Gene"
"PARVB","PARVB","Gene"
"CLDN4","CLDN4","Gene"
"CD47","CD47","Gene"
"LAMB3","LAMB3","Gene"
"PARVA","PARVA","Gene"
"SIRPA","SIRPA","Gene"
"CD2AP","CD2AP","Gene"
"CTNND1","CTNND1","Gene"
"CLDN9","CLDN9","Gene"
"ANG","ANG","Gene"
"ACTN3","ACTN3","Gene"
"CLDN23","CLDN23","Gene"
"SPR","SPR","Gene"
"GCH1","GCH1","Gene"
"GCHFR","GCHFR","Gene"
"PTS","PTS","Gene"
"NOS3","NOS3","Gene"
"DHFR","DHFR","Gene"
"BRCA1","BRCA1","Gene"
"MRE11","MRE11","Gene"
"RAD51","RAD51","Gene"
"SYNE2","SYNE2","Gene"
"SPO11","SPO11","Gene"
"MSH4","MSH4","Gene"
"STAG3","STAG3","Gene"
"SMC1A","SMC1A","Gene"
"MLH1","MLH1","Gene"
"FKBP6","FKBP6","Gene"
"SMC1B","SMC1B","Gene"
"DMC1","DMC1","Gene"
"SUN2","SUN2","Gene"
"REC8","REC8","Gene"
"DIDO1","DIDO1","Gene"
"RBBP8","RBBP8","Gene"
"STAG2","STAG2","Gene"
"UBE2I","UBE2I","Gene"
"NBN","NBN","Gene"
"SMC3","SMC3","Gene"
"RAD51C","RAD51C","Gene"
"RAD50","RAD50","Gene"
"STAG1","STAG1","Gene"
"MLH3","MLH3","Gene"
"MND1","MND1","Gene"
"HSPA2","HSPA2","Gene"
"SYNE1","SYNE1","Gene"
"PSMC3IP","PSMC3IP","Gene"
"TEX15","TEX15","Gene"
"SYCP3","SYCP3","Gene"
"BRCA2","BRCA2","Gene"
"ATM","ATM","Gene"
"TEX12","TEX12","Gene"
"SYCE2","SYCE2","Gene"
"PRDM9","PRDM9","Gene"
"RAD21","RAD21","Gene"
"SUN1","SUN1","Gene"
"SYCE1","SYCE1","Gene"
"ATR","ATR","Gene"
"TOP3A","TOP3A","Gene"
"SYCP2","SYCP2","Gene"
"BLM","BLM","Gene"
"SYCP1","SYCP1","Gene"
"MSH5","MSH5","Gene"
"SYCE3","SYCE3","Gene"
"RBL1","RBL1","Gene"
"MYBL2","MYBL2","Gene"
"RBL2","RBL2","Gene"
"CCNE1","CCNE1","Gene"
"MAX","MAX","Gene"
"TOP2A","TOP2A","Gene"
"CCNA1","CCNA1","Gene"
"E2F5","E2F5","Gene"
"CCNA2","CCNA2","Gene"
"DYRK1A","DYRK1A","Gene"
"CDC25A","CDC25A","Gene"
"CDK1","CDK1","Gene"
"CCNE2","CCNE2","Gene"
"LIN9","LIN9","Gene"
"LIN54","LIN54","Gene"
"E2F4","E2F4","Gene"
"LIN52","LIN52","Gene"
"LIN37","LIN37","Gene"
"CD4","CD4","Gene"
"ARF1","ARF1","Gene"
"CD8B","CD8B","Gene"
"CD28","CD28","Gene"
"CD99","CD99","Gene"
"ITGAL","ITGAL","Gene"
"CD22","CD22","Gene"
"SLAMF7","SLAMF7","Gene"
"CLEC2D","CLEC2D","Gene"
"FCGR2B","FCGR2B","Gene"
"ICAM3","ICAM3","Gene"
"PILRA","PILRA","Gene"
"SIGLEC1","SIGLEC1","Gene"
"ICAM1","ICAM1","Gene"
"CD200","CD200","Gene"
"NCR2","NCR2","Gene"
"MADCAM1","MADCAM1","Gene"
"CD40","CD40","Gene"
"CD40LG","CD40LG","Gene"
"LILRB1","LILRB1","Gene"
"LILRA1","LILRA1","Gene"
"SIGLEC8","SIGLEC8","Gene"
"ICAM4","ICAM4","Gene"
"ICAM5","ICAM5","Gene"
"CD33","CD33","Gene"
"SIGLEC6","SIGLEC6","Gene"
"SIGLEC5","SIGLEC5","Gene"
"LILRB5","LILRB5","Gene"
"NPDC1","NPDC1","Gene"
"ICAM2","ICAM2","Gene"
"COL1A1","COL1A1","Gene"
"CRTAM","CRTAM","Gene"
"CD81","CD81","Gene"
"CLEC2B","CLEC2B","Gene"
"KLRB1","KLRB1","Gene"
"ULBP1","ULBP1","Gene"
"TREML2","TREML2","Gene"
"ITGA4","ITGA4","Gene"
"CD160","CD160","Gene"
"PILRB","PILRB","Gene"
"TREM1","TREM1","Gene"
"KIR2DL1","KIR2DL1","Gene"
"C3","C3","Gene"
"HCST","HCST","Gene"
"SIGLEC9","SIGLEC9","Gene"
"ULBP3","ULBP3","Gene"
"LILRB2","LILRB2","Gene"
"KLRD1","KLRD1","Gene"
"KLRC1","KLRC1","Gene"
"KLRG1","KLRG1","Gene"
"PIANP","PIANP","Gene"
"ITGB7","ITGB7","Gene"
"SIGLEC10","SIGLEC10","Gene"
"KLRF1","KLRF1","Gene"
"CD226","CD226","Gene"
"CD96","CD96","Gene"
"CD8A","CD8A","Gene"
"CXADR","CXADR","Gene"
"COLEC12","COLEC12","Gene"
"CD1D","CD1D","Gene"
"CD1A","CD1A","Gene"
"CD1C","CD1C","Gene"
"CD1B","CD1B","Gene"
"ITGB2","ITGB2","Gene"
"JAML","JAML","Gene"
"CD3G","CD3G","Gene"
"SIGLEC11","SIGLEC11","Gene"
"CD300LG","CD300LG","Gene"
"TREML1","TREML1","Gene"
"VCAM1","VCAM1","Gene"
"SLAMF6","SLAMF6","Gene"
"CD200R1","CD200R1","Gene"
"RAET1E","RAET1E","Gene"
"COL1A2","COL1A2","Gene"
"CD3D","CD3D","Gene"
"LAIR1","LAIR1","Gene"
"LAIR2","LAIR2","Gene"
"KIR3DL1","KIR3DL1","Gene"
"CD300C","CD300C","Gene"
"CD300A","CD300A","Gene"
"SIGLEC7","SIGLEC7","Gene"
"OSCAR","OSCAR","Gene"
"CD34","CD34","Gene"
"CD19","CD19","Gene"
"CD300LB","CD300LB","Gene"
"CLEC4G","CLEC4G","Gene"
"SH2D1A","SH2D1A","Gene"
"IFITM1","IFITM1","Gene"
"CD300LF","CD300LF","Gene"
"CD300E","CD300E","Gene"
"LILRB4","LILRB4","Gene"
"LILRA5","LILRA5","Gene"
"TREML4","TREML4","Gene"
"NCR3LG1","NCR3LG1","Gene"
"SELL","SELL","Gene"
"KIR2DL4","KIR2DL4","Gene"
"NCR1","NCR1","Gene"
"SH2D1B","SH2D1B","Gene"
"CD247","CD247","Gene"
"CD3E","CD3E","Gene"
"FCGR3A","FCGR3A","Gene"
"CD300LD","CD300LD","Gene"
"NCR3","NCR3","Gene"
"MICB","MICB","Gene"
"LILRB3","LILRB3","Gene"
"IGKV4-1","IGKV4-1","Gene"
"IGKV5-2","IGKV5-2","Gene"
"IGKV3D-20","IGKV3D-20","Gene"
"IGLV6-57","IGLV6-57","Gene"
"IGLV1-51","IGLV1-51","Gene"
"IGLV1-47","IGLV1-47","Gene"
"IGLV1-44","IGLV1-44","Gene"
"IGLV7-43","IGLV7-43","Gene"
"IGLV1-40","IGLV1-40","Gene"
"IGLV3-27","IGLV3-27","Gene"
"IGLV3-25","IGLV3-25","Gene"
"IGLV2-23","IGLV2-23","Gene"
"IGLV3-21","IGLV3-21","Gene"
"IGLV3-19","IGLV3-19","Gene"
"IGLV2-14","IGLV2-14","Gene"
"IGLV2-11","IGLV2-11","Gene"
"IGLV3-1","IGLV3-1","Gene"
"IGLC2","IGLC2","Gene"
"IGLC3","IGLC3","Gene"
"TRAV8-4","TRAV8-4","Gene"
"TRAV19","TRAV19","Gene"
"TRAV29DV5","TRAV29DV5","Gene"
"IGHV1-2","IGHV1-2","Gene"
"IGHV2-5","IGHV2-5","Gene"
"IGHV3-7","IGHV3-7","Gene"
"IGHV3-11","IGHV3-11","Gene"
"IGHV3-13","IGHV3-13","Gene"
"IGHV3-23","IGHV3-23","Gene"
"IGHV3-33","IGHV3-33","Gene"
"IGHV4-34","IGHV4-34","Gene"
"IGHV4-39","IGHV4-39","Gene"
"IGHV1-46","IGHV1-46","Gene"
"IGHV3-48","IGHV3-48","Gene"
"IGHV3-53","IGHV3-53","Gene"
"IGHV1-69","IGHV1-69","Gene"
"KLRK1","KLRK1","Gene"
"IGHV4-59","IGHV4-59","Gene"
"IGKV2D-30","IGKV2D-30","Gene"
"IGKV3-20","IGKV3-20","Gene"
"LILRA4","LILRA4","Gene"
"IGKV1D-33","IGKV1D-33","Gene"
"LILRA2","LILRA2","Gene"
"IGKV1-17","IGKV1-17","Gene"
"KIR3DL2","KIR3DL2","Gene"
"IGKV1-16","IGKV1-16","Gene"
"IGKV1D-16","IGKV1D-16","Gene"
"IGKV3-11","IGKV3-11","Gene"
"IGKV1-33","IGKV1-33","Gene"
"IGKV1-39","IGKV1-39","Gene"
"IGKV2D-28","IGKV2D-28","Gene"
"IGKV2-30","IGKV2-30","Gene"
"IGKV1-12","IGKV1-12","Gene"
"IGKV1-5","IGKV1-5","Gene"
"KIR2DL3","KIR2DL3","Gene"
"IGKV2-28","IGKV2-28","Gene"
"IGKV3-15","IGKV3-15","Gene"
"LILRA6","LILRA6","Gene"
"IGKV2D-40","IGKV2D-40","Gene"
"IGKV1D-39","IGKV1D-39","Gene"
"SIGLEC12","SIGLEC12","Gene"
"IGHV3-30","IGHV3-30","Gene"
"IGHV2-70","IGHV2-70","Gene"
"TRBV12-3","TRBV12-3","Gene"
"TRBV7-9","TRBV7-9","Gene"
"IGLV2-8","IGLV2-8","Gene"
"IGKV1D-12","IGKV1D-12","Gene"
"COASY","COASY","Gene"
"VNN1","VNN1","Gene"
"VNN2","VNN2","Gene"
"PANK3","PANK3","Gene"
"PDZD11","PDZD11","Gene"
"SLC25A16","SLC25A16","Gene"
"PANK2","PANK2","Gene"
"PPCS","PPCS","Gene"
"ENPP2","ENPP2","Gene"
"SLC5A6","SLC5A6","Gene"
"PPCDC","PPCDC","Gene"
"AASDHPPT","AASDHPPT","Gene"
"PANK1","PANK1","Gene"
"ENPP3","ENPP3","Gene"
"PANK4","PANK4","Gene"
"FASN","FASN","Gene"
"ENPP1","ENPP1","Gene"
"CD38","CD38","Gene"
"NADK","NADK","Gene"
"PRSS3","PRSS3","Gene"
"RETSAT","RETSAT","Gene"
"SLC2A3","SLC2A3","Gene"
"GSTO2","GSTO2","Gene"
"MTHFD2","MTHFD2","Gene"
"RDH11","RDH11","Gene"
"PTGS2","PTGS2","Gene"
"MOCOS","MOCOS","Gene"
"SLC46A1","SLC46A1","Gene"
"ACACB","ACACB","Gene"
"GPC4","GPC4","Gene"
"NMRK2","NMRK2","Gene"
"MCCC1","MCCC1","Gene"
"LRP2","LRP2","Gene"
"APOB","APOB","Gene"
"COQ9","COQ9","Gene"
"SLC23A2","SLC23A2","Gene"
"CYB5R3","CYB5R3","Gene"
"MTHFD1","MTHFD1","Gene"
"SLC52A3","SLC52A3","Gene"
"ACP5","ACP5","Gene"
"PARP4","PARP4","Gene"
"ABCC1","ABCC1","Gene"
"QPRT","QPRT","Gene"
"NAMPT","NAMPT","Gene"
"NMRK1","NMRK1","Gene"
"CUBN","CUBN","Gene"
"PNPO","PNPO","Gene"
"BST1","BST1","Gene"
"APOA4","APOA4","Gene"
"APOC3","APOC3","Gene"
"COQ5","COQ5","Gene"
"NUDT12","NUDT12","Gene"
"PCCB","PCCB","Gene"
"RBP2","RBP2","Gene"
"RBP1","RBP1","Gene"
"SDC1","SDC1","Gene"
"MTR","MTR","Gene"
"SLC2A1","SLC2A1","Gene"
"SLC19A2","SLC19A2","Gene"
"APOA1","APOA1","Gene"
"TTR","TTR","Gene"
"ABCD4","ABCD4","Gene"
"COQ6","COQ6","Gene"
"MTHFD1L","MTHFD1L","Gene"
"UBIAD1","UBIAD1","Gene"
"LRAT","LRAT","Gene"
"LRP1","LRP1","Gene"
"SDC4","SDC4","Gene"
"MOCS3","MOCS3","Gene"
"MTRR","MTRR","Gene"
"MOCS1","MOCS1","Gene"
"SLC25A19","SLC25A19","Gene"
"LDLR","LDLR","Gene"
"APOE","APOE","Gene"
"MCCC2","MCCC2","Gene"
"COQ3","COQ3","Gene"
"SLC52A1","SLC52A1","Gene"
"MMACHC","MMACHC","Gene"
"CBLIF","CBLIF","Gene"
"TCN1","TCN1","Gene"
"RFK","RFK","Gene"
"BCO1","BCO1","Gene"
"SLC19A3","SLC19A3","Gene"
"ALDH1L2","ALDH1L2","Gene"
"MTHFS","MTHFS","Gene"
"FPGS","FPGS","Gene"
"CLPS","CLPS","Gene"
"TTPA","TTPA","Gene"
"PARP6","PARP6","Gene"
"RBP4","RBP4","Gene"
"AOX1","AOX1","Gene"
"IDH1","IDH1","Gene"
"PARP9","PARP9","Gene"
"PARP16","PARP16","Gene"
"MMAB","MMAB","Gene"
"HSPG2","HSPG2","Gene"
"ALDH1L1","ALDH1L1","Gene"
"MMUT","MMUT","Gene"
"GPC3","GPC3","Gene"
"LRP12","LRP12","Gene"
"NAPRT","NAPRT","Gene"
"PDSS1","PDSS1","Gene"
"GSTO1","GSTO1","Gene"
"MMAA","MMAA","Gene"
"PARP8","PARP8","Gene"
"NADK2","NADK2","Gene"
"NMNAT2","NMNAT2","Gene"
"LRP8","LRP8","Gene"
"APOA2","APOA2","Gene"
"HLCS","HLCS","Gene"
"PDXK","PDXK","Gene"
"FLAD1","FLAD1","Gene"
"CTRC","CTRC","Gene"
"SDC3","SDC3","Gene"
"NAXE","NAXE","Gene"
"MTHFD2L","MTHFD2L","Gene"
"PLB1","PLB1","Gene"
"NMNAT3","NMNAT3","Gene"
"MOCS2","MOCS2","Gene"
"PDSS2","PDSS2","Gene"
"SLC25A32","SLC25A32","Gene"
"FOLR2","FOLR2","Gene"
"AMN","AMN","Gene"
"CYB5A","CYB5A","Gene"
"NNMT","NNMT","Gene"
"COQ7","COQ7","Gene"
"VKORC1","VKORC1","Gene"
"CD320","CD320","Gene"
"LMBRD1","LMBRD1","Gene"
"MMADHC","MMADHC","Gene"
"CTRB1","CTRB1","Gene"
"CTRB2","CTRB2","Gene"
"BTD","BTD","Gene"
"SLC23A1","SLC23A1","Gene"
"GPHN","GPHN","Gene"
"NADSYN1","NADSYN1","Gene"
"SLC22A13","SLC22A13","Gene"
"COQ2","COQ2","Gene"
"PARP14","PARP14","Gene"
"PC","PC","Gene"
"NMNAT1","NMNAT1","Gene"
"SLC19A1","SLC19A1","Gene"
"PCCA","PCCA","Gene"
"PNLIP","PNLIP","Gene"
"SHMT1","SHMT1","Gene"
"MTHFR","MTHFR","Gene"
"PARP10","PARP10","Gene"
"DHFR2","DHFR2","Gene"
"GPC5","GPC5","Gene"
"SHMT2","SHMT2","Gene"
"GPC6","GPC6","Gene"
